City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Caravelas,BR,73.81,overcast clouds,-17.7125,-39.2481,Caravelas
3,Lorengau,PG,80.17,overcast clouds,-2.0226,147.2712,Lorengau
4,Avarua,CK,78.8,light rain,-21.2078,-159.775,Avarua District
6,Vaini,TO,73.4,light rain,-21.2,-175.2,Nukuhetulu
7,Lahat,ID,73.06,overcast clouds,-3.8,103.5333,Lahat
11,Kaputa,ZM,70.36,light rain,-8.4689,29.6619,Kaputa
13,Nabire,ID,75.09,broken clouds,-3.3667,135.4833,Nabire
16,Neuquen,AR,66.2,light rain,-38.9516,-68.0591,Neuquen
17,Bambous Virieux,MU,78.01,light rain,-20.3428,57.7575,Vieux Grand Port
22,Villa Carlos Paz,AR,77.0,clear sky,-31.4241,-64.4978,Villa Carlos Paz
24,Cidreira,BR,70.5,clear sky,-30.1811,-50.2056,CIDREIRA
25,Kapaa,US,75.2,broken clouds,22.0752,-159.319,Kapaʻa
26,Jaque,PA,82.58,light rain,7.5175,-78.1703,Jaque
27,Carnarvon,AU,66.2,broken clouds,-24.8667,113.6333,Carnarvon
29,Rikitea,PF,78.76,overcast clouds,-23.1203,-134.9692,Rikitea
33,Port Blair,IN,81.61,overcast clouds,11.6667,92.75,Port Blair
34,San Antonio,US,75.2,overcast clouds,29.4241,-98.4936,San Antonio
35,Puerto Ayora,EC,82.4,scattered clouds,-0.7393,-90.3518,Puerto Ayora
39,Hithadhoo,MV,84.07,overcast clouds,-0.6,73.0833,Addu City
42,Poso,ID,78.01,overcast clouds,-1.3959,120.7524,Poso
44,Komsomolskiy,UZ,75.2,overcast clouds,40.4272,71.7189,Fergana
46,Mahebourg,MU,77.0,light rain,-20.4081,57.7,Mahebourg
47,Atuona,PF,78.84,clear sky,-9.8,-139.0333,Atuona
49,Chicama,PE,68.0,fog,-7.8447,-79.1469,Chiclín
50,Faanui,PF,79.66,overcast clouds,-16.4833,-151.75,Vaitape
52,Butaritari,KI,82.44,broken clouds,3.0707,172.7902,Isles Sunset Lodge
54,Malakal,SS,80.62,few clouds,9.5334,31.6605,Malakal
63,Biak,ID,76.19,scattered clouds,-0.9131,122.8766,CV. Karya Alam Perkasa
65,Makakilo City,US,80.6,broken clouds,21.3469,-158.0858,Kapolei
66,Corinto,GR,69.01,overcast clouds,37.9407,22.9573,Corinth
68,Bengkulu,ID,75.63,overcast clouds,-3.8004,102.2655,Bengkulu
72,Bandarbeyla,SO,84.22,broken clouds,9.4942,50.8122,Bandarbeyla
79,Georgetown,MY,77.0,light rain,5.4112,100.3354,George Town
82,Hilo,US,80.6,light rain,19.7297,-155.09,Hilo
83,Pisco,PE,73.4,clear sky,-13.7,-76.2167,Pisco
87,Amapa,BR,77.65,overcast clouds,1.0,-52.0,Teresinha
88,Chuy,UY,70.18,few clouds,-33.6971,-53.4616,Chuy
94,Saint-Philippe,RE,75.2,light rain,-21.3585,55.7679,Saint-Philippe
95,Pontianak,ID,73.4,scattered clouds,-0.0333,109.3333,Pontianak
96,Sao Felix Do Xingu,BR,84.34,overcast clouds,-6.6447,-51.995,São Félix do Xingu
101,Guerrero Negro,MX,82.6,clear sky,27.9769,-114.0611,Guerrero Negro
105,Inhambane,MZ,77.0,few clouds,-23.865,35.3833,Maxixe
112,Banda Aceh,ID,79.27,broken clouds,5.5577,95.3222,Banda Aceh
114,Vila Velha,BR,78.01,few clouds,-20.3297,-40.2925,Vila Velha
115,Carutapera,BR,77.0,overcast clouds,-1.195,-46.02,Carutapera
121,Lasa,IT,66.2,scattered clouds,46.6166,10.7002,Schlanders
123,Bongandanga,CD,74.44,overcast clouds,1.5,21.05,Bongandanga
124,Arraial Do Cabo,BR,77.0,few clouds,-22.9661,-42.0278,Arraial do Cabo
127,Marzuq,YE,75.22,overcast clouds,14.4,46.4667,Al Hujayrah
133,Meulaboh,ID,77.41,scattered clouds,4.1363,96.1285,Meulaboh
134,Statesville,US,78.01,clear sky,35.7826,-80.8873,Statesville
135,Cayenne,GF,82.4,broken clouds,4.9333,-52.3333,Cayenne
139,Sambava,MG,76.86,light rain,-14.2667,50.1667,Sambava
141,San Cristobal,VE,71.6,broken clouds,7.7669,-72.225,San Cristobal
142,Fare,PF,80.44,overcast clouds,-16.7,-151.0167,Fare
145,Pokhara,NP,74.97,broken clouds,28.2333,83.9833,Pokhara
146,Harlingen,US,80.6,overcast clouds,26.1906,-97.6961,Harlingen
147,Kindu,CD,70.65,overcast clouds,-2.95,25.95,Kindu
148,Poum,NC,74.98,scattered clouds,-20.2333,164.0167,Poum
149,Kismayo,SO,82.17,broken clouds,-0.3582,42.5454,Kismayo
150,Castro,BR,66.9,few clouds,-24.7911,-50.0119,Castro
152,Luwuk,ID,76.93,broken clouds,-0.9516,122.7875,Luwuk
154,Forio,IT,69.8,clear sky,40.7342,13.8646,Forio
158,Loandjili,CG,80.6,scattered clouds,-4.7561,11.8578,Pointe-Noire
159,Matara,LK,77.9,overcast clouds,5.9485,80.5353,Matara
160,Copiapo,CL,66.2,clear sky,-27.3667,-70.3333,Copiapó
161,Bathsheba,BB,82.4,broken clouds,13.2167,-59.5167,Wilson Hill
162,Dolores,AR,70.7,clear sky,-36.3132,-57.6792,Dolores
163,Tigre,AR,75.0,clear sky,-34.426,-58.5796,Tigre
165,Kirakira,SB,78.12,overcast clouds,-10.4544,161.9205,Arohane
167,Lazaro Cardenas,MX,84.36,few clouds,17.9583,-102.2,Lázaro Cárdenas
171,Quelimane,MZ,80.6,clear sky,-17.8786,36.8883,Quelimane
172,Chokwe,MZ,72.18,overcast clouds,-24.5333,32.9833,Chokwe
178,Pangai,TO,77.0,light rain,-19.8,-174.35,Pangai
179,North Battleford,CA,69.8,clear sky,52.7834,-108.2847,North Battleford
184,Baytown,US,71.01,overcast clouds,29.7355,-94.9774,Houston
185,Turayf,SA,82.4,scattered clouds,31.6725,38.6637,Turaif
186,Salta,AR,68.0,few clouds,-24.7859,-65.4117,Salta
187,Basco,PH,78.53,clear sky,20.4487,121.9702,Basco
190,Mpulungu,ZM,72.12,broken clouds,-8.7623,31.1141,Mpulungu
192,Bayir,TR,68.0,clear sky,37.2687,28.2167,Bayır
195,San Quintin,MX,75.97,clear sky,30.4833,-115.95,Lázaro Cárdenas
198,Ambilobe,MG,74.66,few clouds,-13.2,49.05,Ambilobe
199,Naze,JP,66.47,overcast clouds,28.3667,129.4833,Amami
200,Buala,SB,79.03,moderate rain,-8.145,159.5921,Buala
201,Souillac,MU,77.0,few clouds,-20.5167,57.5167,Souillac
204,Denpasar,ID,78.8,few clouds,-8.65,115.2167,Denpasar
206,Kahului,US,75.2,light rain,20.8947,-156.47,Kahului
208,Puerto Madryn,AR,75.43,overcast clouds,-42.7692,-65.0385,Puerto Madryn
210,Itoman,JP,71.6,scattered clouds,26.1247,127.6694,Itoman
214,Tank,PK,84.06,broken clouds,32.2217,70.3793,Tank
215,Mar Del Plata,AR,71.01,clear sky,-38.0023,-57.5575,Mar del Plata
