,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,33.8,100,90,2.24,overcast clouds
1,Caravelas,BR,-17.7125,-39.2481,73.81,85,100,12.93,overcast clouds
2,Mount Gambier,AU,-37.8333,140.7667,57.2,54,100,10.36,overcast clouds
3,Lorengau,PG,-2.0226,147.2712,80.17,77,100,3.18,overcast clouds
4,Avarua,CK,-21.2078,-159.775,78.8,83,75,4.61,light rain
5,Lavumisa,SZ,-27.31,31.892,63.57,84,99,9.98,light rain
6,Vaini,TO,-21.2,-175.2,73.4,100,90,8.05,light rain
7,Lahat,ID,-3.8,103.5333,73.06,97,100,1.9,overcast clouds
8,Hobart,AU,-42.8794,147.3294,48.0,87,11,9.22,few clouds
9,Bluff,NZ,-46.6,168.3333,39.99,92,96,1.99,overcast clouds
10,Tasiilaq,GL,65.6145,-37.6368,32.0,86,20,9.22,few clouds
11,Kaputa,ZM,-8.4689,29.6619,70.36,87,100,4.63,light rain
12,Bethel,US,41.3712,-73.414,63.0,42,75,12.66,broken clouds
13,Nabire,ID,-3.3667,135.4833,75.09,89,65,3.58,broken clouds
14,Beringovskiy,RU,63.05,179.3167,24.21,86,100,4.94,overcast clouds
15,Albany,US,42.6001,-73.9662,53.01,69,100,8.99,overcast clouds
16,Neuquen,AR,-38.9516,-68.0591,66.2,52,0,5.75,light rain
17,Bambous Virieux,MU,-20.3428,57.7575,78.01,83,20,11.5,light rain
18,Ushuaia,AR,-54.8,-68.3,41.0,81,75,1.16,light intensity drizzle
19,Mataura,NZ,-46.1927,168.8643,39.99,92,47,1.99,scattered clouds
20,Jamestown,US,42.097,-79.2353,46.99,56,75,29.93,broken clouds
21,Konya,TR,38.1667,32.5,64.4,39,0,6.08,clear sky
22,Villa Carlos Paz,AR,-31.4241,-64.4978,77.0,36,0,17.27,clear sky
23,Belyy Yar,RU,53.6039,91.3903,39.2,70,0,4.47,clear sky
24,Cidreira,BR,-30.1811,-50.2056,70.5,66,0,14.47,clear sky
25,Kapaa,US,22.0752,-159.319,75.2,73,75,13.8,broken clouds
26,Jaque,PA,7.5175,-78.1703,82.58,74,44,5.23,light rain
27,Carnarvon,AU,-24.8667,113.6333,66.2,59,80,11.5,broken clouds
28,Praia Da Vitoria,PT,38.7333,-27.0667,62.01,63,20,2.28,few clouds
29,Rikitea,PF,-23.1203,-134.9692,78.76,77,100,20.15,overcast clouds
30,Tiksi,RU,71.6872,128.8694,30.36,81,100,3.51,overcast clouds
31,Nanortalik,GL,60.1432,-45.2371,42.28,64,11,5.03,few clouds
32,Zhigansk,RU,66.7697,123.3711,30.38,88,100,3.2,overcast clouds
33,Port Blair,IN,11.6667,92.75,81.61,74,100,1.59,overcast clouds
34,San Antonio,US,29.4241,-98.4936,75.2,73,90,8.05,overcast clouds
35,Puerto Ayora,EC,-0.7393,-90.3518,82.4,69,40,13.8,scattered clouds
36,Bredasdorp,ZA,-34.5322,20.0403,51.8,76,0,3.44,clear sky
37,Jodhpur,IN,26.2867,73.03,86.23,26,0,7.07,clear sky
38,Tuatapere,NZ,-46.1333,167.6833,39.99,92,100,1.99,overcast clouds
39,Hithadhoo,MV,-0.6,73.0833,84.07,72,93,7.14,overcast clouds
40,Busselton,AU,-33.65,115.3333,51.01,98,98,1.01,overcast clouds
41,Haines Junction,CA,60.7522,-137.5108,46.4,42,100,11.5,overcast clouds
42,Poso,ID,-1.3959,120.7524,78.01,80,98,4.03,overcast clouds
43,Lebu,CL,-37.6167,-73.65,57.58,85,100,20.67,moderate rain
44,Komsomolskiy,UZ,40.4272,71.7189,75.2,29,100,2.3,overcast clouds
45,Lofthus,NO,59.9468,10.8018,46.0,31,90,1.99,overcast clouds
46,Mahebourg,MU,-20.4081,57.7,77.0,83,20,11.5,light rain
47,Atuona,PF,-9.8,-139.0333,78.84,70,2,4.88,clear sky
48,Punta Arenas,CL,-53.15,-70.9167,42.8,93,90,8.05,light rain
49,Chicama,PE,-7.8447,-79.1469,68.0,83,40,10.36,fog
50,Faanui,PF,-16.4833,-151.75,79.66,76,100,3.33,overcast clouds
51,Sioux Lookout,CA,50.1001,-91.917,46.4,25,1,8.05,clear sky
52,Butaritari,KI,3.0707,172.7902,82.44,75,64,11.23,broken clouds
53,Saskylakh,RU,71.9167,114.0833,31.08,90,100,7.54,overcast clouds
54,Malakal,SS,9.5334,31.6605,80.62,60,20,8.46,few clouds
55,Constitucion,CL,-35.3333,-72.4167,58.8,82,100,11.88,overcast clouds
56,Cherskiy,RU,68.75,161.3,2.71,99,100,2.06,overcast clouds
57,New Norfolk,AU,-42.7826,147.0587,48.0,87,12,3.04,few clouds
58,Yeppoon,AU,-23.1333,150.7333,64.4,82,75,5.75,broken clouds
59,Podor,MR,16.6527,-14.9587,98.6,20,0,2.3,clear sky
60,Ponta Delgada,PT,37.7333,-25.6667,60.8,59,40,11.5,scattered clouds
61,Gillingham,GB,51.3891,0.5486,48.0,67,97,3.0,overcast clouds
62,Derzhavinsk,KZ,51.1,66.3167,49.33,50,5,9.1,clear sky
63,Biak,ID,-0.9131,122.8766,76.19,83,40,1.9,scattered clouds
64,Kodiak,US,57.79,-152.4072,46.4,42,1,17.27,clear sky
65,Makakilo City,US,21.3469,-158.0858,80.6,57,75,10.36,broken clouds
66,Corinto,GR,37.9407,22.9573,69.01,67,92,3.02,overcast clouds
