City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Chokurdakh,RU,2021-04-25 00:03:40,70.6333,147.9167,9.21,80,4,6.33
1,Ushuaia,AR,2021-04-25 00:00:36,-54.8,-68.3,50.0,57,40,9.22
2,Laguna,US,2021-04-25 00:04:12,38.421,-121.4238,66.99,42,75,14.97
3,Qaanaaq,GL,2021-04-25 00:04:04,77.484,-69.3632,26.29,68,95,7.36
4,Waipawa,NZ,2021-04-25 00:04:13,-41.4122,175.5153,62.6,63,40,18.41
5,Tasiilaq,GL,2021-04-25 00:01:43,65.6145,-37.6368,42.8,70,75,20.71
6,Hirado,JP,2021-04-25 00:04:14,33.3597,129.5531,64.99,82,20,6.91
7,Ribeira Grande,PT,2021-04-25 00:00:56,38.5167,-28.7,59.76,74,97,20.94
8,Cape Town,ZA,2021-04-25 00:00:35,-33.9258,18.4232,60.01,88,0,1.14
9,Atuona,PF,2021-04-24 23:59:28,-9.8,-139.0333,80.67,72,15,14.43
10,Khatanga,RU,2021-04-24 23:59:33,71.9667,102.5,31.35,94,100,19.13
11,Lamar,US,2021-04-25 00:04:15,33.6668,-95.5836,66.99,72,1,6.91
12,Sur,OM,2021-04-25 00:04:15,22.5667,59.5289,83.98,39,0,7.94
13,Margate,GB,2021-04-25 00:04:15,51.3813,1.3862,46.0,71,37,4.0
14,Urubicha,BO,2021-04-25 00:04:16,-15.3833,-62.95,71.98,97,87,0.85
15,New Norfolk,AU,2021-04-25 00:02:58,-42.7826,147.0587,55.0,67,89,6.55
16,Mar Del Plata,AR,2021-04-25 00:03:45,-38.0023,-57.5575,59.0,77,0,5.75
17,Rikitea,PF,2021-04-25 00:04:16,-23.1203,-134.9692,78.71,74,100,14.07
18,Dikson,RU,2021-04-25 00:01:25,73.5069,80.5464,3.87,97,58,7.76
19,Jamestown,US,2021-04-25 00:04:17,42.097,-79.2353,53.6,40,90,10.36
20,Ilhabela,BR,2021-04-25 00:01:59,-23.7781,-45.3581,70.2,87,30,2.51
21,Egvekinot,RU,2021-04-25 00:03:28,66.3167,-179.1667,27.46,97,95,5.03
22,Luzhou,CN,2021-04-25 00:04:18,28.8724,105.4405,63.46,93,100,5.86
23,Teya,RU,2021-04-25 00:04:18,60.3778,92.6267,34.27,91,100,2.33
24,Ballangen,NO,2021-04-25 00:04:18,68.3428,16.8315,28.4,74,20,6.91
25,Hobart,AU,2021-04-24 23:59:21,-42.8794,147.3294,55.4,62,75,8.05
26,Kaitangata,NZ,2021-04-25 00:01:22,-46.2817,169.8464,51.01,61,73,17.0
27,Busselton,AU,2021-04-25 00:02:16,-33.65,115.3333,63.19,82,1,1.54
28,Tiksi,RU,2021-04-25 00:04:19,71.6872,128.8694,32.22,92,100,11.43
29,Punta Arenas,CL,2021-04-25 00:00:50,-53.15,-70.9167,46.4,66,0,14.97
30,Healesville,AU,2021-04-25 00:04:20,-37.65,145.5167,54.0,99,49,1.88
31,Hithadhoo,MV,2021-04-25 00:00:51,-0.6,73.0833,82.99,69,15,7.96
